participant,n,beta,p
A35QV79054LGTU,4963,-0.0012397961271300786,0.777102803463143
A36JU4ZU054BRK,4838,0.005292833060461258,0.22681131720084388
A36S7XIINCHR8R,4855,0.00334103595290957,0.46623604943126745
A36TOO4WWGEEPW,4966,0.0067089627116664816,0.06073871787118916
A37I1ETWW49IZO,1083,0.028305718264834738,0.03804203826898894
A37PQ1206C9RZP,3903,0.004853414648237908,0.276103632824041
A38NIARZOSEVUG,3933,-0.00039639581756992226,0.9269161349001441
A38UOBWJF4WFGG,7959,0.013317547787538934,0.0005863181389897467
A39GZHNGT87G5N,4962,-0.00025567493459737953,0.9204107414617532
A3AA8NU3WAJ3ED,2152,0.010321669754240648,0.08678321147840815
A3ALSJWTGWPVN8,1219,0.004202211102578023,0.44904704736838225
A3BFHFBYDCCIGV,4753,0.003716286807595167,0.32623792339712065
A3CT5E0WZJL8PG,4613,0.024001524813798476,5.319860994204991e-05
A3CWWX1NWA00S3,4834,0.0006862090074991854,0.8538166775501296
A3EQVDHHKZRC0K,8787,0.004461421630335325,0.07039364428437725
A3EZCOCQU4QNCO,2898,0.005614867330690644,0.2654043539982208
A3GLUDQZGEJL5G,4846,0.00013419887365989647,0.9706671217227653
A3GYYRNHP635XM,4856,-0.005709139931604573,0.17458938185863784
A3M0KT6KUJEZD1,4957,-0.009385054527350317,0.05950838422866675
A3NMC1E54BML7K,4925,0.005729134249276343,0.1985329803470997
A3NOO9K3CY1YU5,7816,0.008346595655751868,0.003303801625559727
A3O1NDWT4BXNX4,4857,-0.0068289682780092315,0.17964538401997798
A3OQ1JKWS02NMF,4953,-0.0003716861470117738,0.9220979010610248
A3P9YDDTO87QGZ,4844,0.005866731834350297,0.09896980975419771
A3QJPB0NZU5PY1,4965,0.0035701532611521064,0.34161185507019143
A3RILJPBGAOWN4,4853,0.0020050649581641045,0.6294013619797078
A3S3YW6II31OZV,9825,-0.002807012995771861,0.36756091657875256
A3S82OHUGFBR7L,3000,-0.0013598202004372895,0.8176518342254417
A3SWH7DHWHP0BO,4967,-0.0007585159252691022,0.8294991943704804
A3T8CCUYDNT61C,4950,-0.006487140412841846,0.20558711846522393
A3TK9CLBA65ZZE,3932,-0.0009481828764067966,0.7574142817820083
A3U3DA0O35IORB,4855,0.010593418071276867,0.03536716599291925
A3UDP95JGEX3H1,4964,0.00027426230163962034,0.9467620207740873
A3ULFB0PQ1471E,4839,-0.00012189708491676388,0.9804750087782591
A40F6EHXE5HXU,4852,0.007091892680976888,0.043331912192168136
A5E076UK5CA9J,3235,0.004638898184028822,0.4944137535301096
A5FJBKJ8K5I6S,4964,-0.010858861586820999,0.006323980560513287
A5U9HUMS31DIR,4851,0.012412096312711562,0.0008297600602356953
A7LIT8S8LGRAH,9822,0.0025805962873509903,0.5081772652023312
A7MOPEHSUGVQ,3886,0.0028181078080513552,0.553372863789223
A7ZNPY1T3SX8I,940,0.010715612240166643,0.29697854010941566
A8L4UTQ8RXDFS,4964,0.008228826755387227,0.019920536510629038
A98XHW6B1VSSQ,2914,0.008365223774999868,0.015753865416732148
AA8O3Z9L0FSW1,4875,0.021657743242909262,9.446542167013887e-05
ABMVPQ5CQFHGS,4859,0.0006913469422065582,0.8588373777223447
ACB0CSL0QMRGQ,3907,-4.000491775120983e-05,0.9907860958301667
ACPUTK2MNMYHB,4848,-0.005714871045631689,0.14472049003175358
ACTW5YEWV9OR0,4962,0.011236529880036046,0.0432375602956699
ACUXGYJAQUZAE,9799,0.0006452910395963827,0.7763843453335507
ACYV5TUADOWEA,3930,0.007760658160888383,0.012900665807915233
AER86HM7LU5G,4886,0.0006131992030971346,0.9084790005912791
AEUGCBFJPU0MX,7930,0.012789350840699182,6.824240908056848e-05
AEX85SLEN727,4925,0.004124405130193631,0.2818064336123493
AHP7FGH4N2TX5,4858,0.015826545168229067,0.0037970304436237825
AJDL05304W8E,8461,0.006486167412886452,0.013883684406295407
AK7YVYGMIF6T0,4967,-0.0028592316409566006,0.39949451014524595
AK9FN3FCOY9Q2,4968,0.00033755877084332836,0.9531483375443373
AKEZ83FQITFD8,5915,-0.0022416177059388725,0.39454114487019615
ALE5RDP8XZL3,8813,0.005629490199506367,0.0065989846592657605
AM7UBKT777C3R,4794,0.0050570669076688436,0.5707331130243138
AMYL22GHCON9A,4861,0.0019270905330912441,0.5090372373309028
ANC446SIU64J6,385,-0.006122009374213311,0.6715452098200617
ANDPWG91K8OEX,3619,0.001273188114160162,0.8193459163245934
ANL7UI5ES4L18,4968,0.007782079242277251,0.032513277759922014
AO8HNJRGZQD0A,1841,0.01696530711824957,0.007198164036049681
AOTSROWZG1XS1,7654,0.0031279887196970432,0.3348073343413847
AOVB3KCIIJLRJ,3930,-0.005493748133617762,0.4097053951700066
AOZ06WXWI630,4963,0.003397347461436207,0.32242967908866066
AP0ABE3ZSEGPC,4848,-0.005987803787855565,0.13804540592473966
ARGHS9P7FVR3W,4926,0.006791631291984179,0.18986742535019757
ARNTOT4L28BBP,4948,0.003233985091390088,0.33717070808570876
ASOBUAZ0IQYSJ,3954,0.012866805691232865,0.043044304824515364
AVG2BI8CS5YKX,4839,0.00550474731467146,0.1690648848948936
AWMGC78CSF6YL,3768,0.007804863928165708,0.12826073107931762
AWZ3AH7JH0DRO,4842,-0.0021790772431099503,0.5447836242620743
AWZ83IBW10B96,4967,0.005769085316434497,0.16082078789432283
AY1ZVSTHEQDH8,3936,0.001520475666887719,0.7232972285490551
AZACM8ZW3MN8N,452,0.0007180612438144052,0.967622198020825
