conv_id,speaker,word_pos,pause_ms,pause_mark,pause_len,iu_len,iu_len_prev,on
57,57_NICK,2725,0.0,0,0,3,2,1263.975
57,57_NICK,2728,0.0,0,0,1,3,1264.725
57,57_NICK,2733,0.0,0,0,3,4,1267.15
57,57_NICK,2736,0.0,1,3,3,3,1268.427
57,57_JED,2740,0.0,0,0,5,1,1274.478
57,57_NICK,2746,0.0,0,0,5,1,1276.189
57,57_JED,2758,0.0,0,0,7,7,1282.298
57,57_NICK,2766,243.00000000016553,1,3,6,1,1284.188
57,57_NICK,2772,0.0,0,0,4,6,1285.663
57,57_NICK,2776,0.0,1,3,7,4,1286.863
57,57_NICK,2783,0.0,1,3,1,7,1289.29
57,57_NICK,2784,0.0,1,3,2,1,1299.651
57,57_NICK,2786,0.0,0,0,3,2,1301.097
57,57_NICK,2789,0.0,1,3,3,3,1302.147
57,57_NICK,2792,0.0,1,3,1,3,1303.759
57,57_NICK,2793,0.0,1,3,8,1,1306.188
57,57_NICK,2801,0.0,1,3,1,0,1311.762
57,57_NICK,2802,0.0,0,0,4,1,1312.933
57,57_NICK,2806,0.0,0,0,6,4,1313.778
57,57_NICK,2816,0.0,0,0,6,3,1315.538
57,57_NICK,2822,0.0,0,0,3,6,1316.524
57,57_NICK,2825,0.0,0,0,5,3,1316.93
57,57_JED,2830,0.0,1,2,12,0,1321.898
57,57_JED,2842,0.0,1,3,5,12,1324.884
57,57_JED,2847,0.0,1,3,6,5,1326.753
57,57_JED,2859,0.0,1,3,3,5,1330.277
57,57_JED,2862,0.0,1,2,7,3,1331.426
57,57_JED,2869,0.0,0,0,8,7,1332.874
57,57_JED,2877,0.0,1,3,3,8,1334.612
57,57_JED,2880,0.0,0,0,5,3,1336.147
57,57_JED,2885,0.0,0,0,11,5,1337.772
57,57_JED,2896,0.0,1,3,3,11,1339.472
57,57_JED,2899,0.0,1,3,3,3,1341.596
57,57_JED,2902,0.0,0,0,3,3,1342.646
57,57_JED,2905,0.0,0,0,5,3,1343.581
57,57_JED,2910,0.0,0,0,5,5,1344.46
57,57_JED,2915,0.0,1,3,2,5,1345.435
57,57_JED,2917,0.0,0,0,8,2,1348.15
57,57_JED,2925,0.0,0,0,4,8,1350.396
57,57_JED,2929,0.0,0,0,6,4,1351.626
57,57_JED,2935,0.0,1,3,13,6,1353.832
57,57_JED,2948,0.0,1,3,6,13,1358.16
57,57_JED,2954,0.0,1,2,2,6,1361.296
57,57_JED,2956,0.0,1,3,1,2,1362.197
