item,construction,tee_unamb,tee_amb,surp_unamb,surp_amb,dTEE,dSurp
19,NPS,95.28612279791149,98.6218225661866,9.314651227581871,10.31301120377108,3.3356997682751057,0.9983599761892084
19,NPZ,94.95615286586973,96.66091976743897,7.323565426845722,16.82141532584907,1.7047669015692435,9.497849899003349
20,MVRR,100.67978479938729,96.30163743987207,9.836599310893599,14.051010092715604,-4.378147359515225,4.214410781822005
20,NPS,94.15045660109132,93.57273543252937,8.903628514423637,10.315274495456434,-0.5777211685619505,1.4116459810327964
20,NPZ,90.79170563302014,99.13434541530849,6.232479972547925,12.900188872397724,8.342639782288344,6.667708899849798
21,MVRR,102.09219076333127,101.21660577148936,19.011494684661937,19.229264620629255,-0.8755849918419187,0.21776993596731842
21,NPS,97.83955730892428,98.87009520154251,15.80085926873951,17.460314363469923,1.0305378926182271,1.6594550947304132
21,NPZ,96.80223403904328,99.80376505782944,14.247582135068173,21.533360221796922,3.001531018786153,7.285778086728749
22,MVRR,89.47864148401442,89.87499423496017,11.019587478298256,19.080081365826025,0.39635275094575206,8.06049388752777
22,NPS,91.82382636928543,95.57515843887663,11.199061693432649,11.698477297758934,3.7513320695912,0.49941560432628584
22,NPZ,90.59483260097738,97.84622822013908,7.9027135639732125,16.933916745015072,7.251395619161698,9.03120318104186
23,MVRR,98.437670482131,94.66169036543606,24.123885360739962,21.250692288561225,-3.7759801166949387,-2.8731930721787364
23,NPS,91.92332532288289,96.41804204864066,17.426488815698224,18.024274368734417,4.494716725757769,0.5977855530361929
23,NPZ,91.62487811529417,97.97841898524553,15.574470938172157,20.234350494328403,6.35354086995136,4.6598795561562465
24,MVRR,101.10477858316467,102.43114880594428,13.839588380356936,16.18919747024894,1.3263702227796017,2.3496090898920023
24,NPS,99.03092369237571,102.64384292852975,11.378895008342042,13.788303153869647,3.612919236154042,2.409408145527605
24,NPZ,96.88848652397964,98.47501845321456,10.133620228239703,17.474763657864813,1.5865319292349227,7.3411434296251095
