participant,n,beta,p
A2BJ35SLVKCUL7,4944,0.006478763140786211,0.12317502073118117
A2BJELRJ9N4NA5,4849,0.002840057175036971,0.40663668923229224
A2BNOEYZ3VRW2R,4824,-0.012761407632307188,0.054855202876395004
A2DGJ8T7C3HMCQ,4966,0.01305901434065402,0.024240046871890568
A2EAIMII6MSIO5,4962,0.006104837434089459,0.2558047932577039
A2FZ90AHSTSHXA,3468,0.014641724877379629,0.029067009973348695
A2GNS1SQLQNMR2,4974,-0.002333102993367857,0.4428724054541756
A2HS4FQ4DR4GIK,4966,0.0031911590944148464,0.4946400145838163
A2I2OHYPL49ZAI,4962,0.005768439787499687,0.41433715435714535
A2I6WWFA5KE0MS,4807,0.010302997201063382,0.05738419271078271
A2JKCS6UCAUARS,3678,-0.0020388789730493434,0.7444448125249158
A2JRWVPVWD1KAS,9820,0.0029816360495672385,0.4019003705867905
A2L54KVSIY1GOM,735,-0.0009187998359011657,0.9431782871962512
A2L6GS9A2MMQK4,4924,-0.006156404686697911,0.1080305561862015
A2LFVSF501ZT5W,4861,-0.0028542155598049908,0.35955626424981313
A2LFX0LP92GLCQ,4963,0.002788189067152863,0.5328088516720527
A2MSCP411YP41Q,7956,0.004441021657885621,0.32511394500971713
A2MVFSJBKHUPH9,9832,0.0037383707137130543,0.09581500677954798
A2N5QS96KRPFVO,2015,0.011412028083843007,0.08716574148455841
A2NJGU26SOMOKV,4962,0.011590585235035065,0.0032227741731679967
A2O7F23PZP1T9B,3952,0.004279831192278545,0.49459085440476297
A2OIFE4TAQ7AEI,3956,0.0018722417793361756,0.644670383155749
A2PE5UDQ5WG2R0,3941,-0.00032803540434090533,0.9423182661330822
A2PURNW8W7L0LT,4861,0.015618705398145454,0.0017751523601925298
A2RPQGUWVZPX7U,4974,0.007932408731276003,0.0640747317508486
A2TG01V56PAL65,4964,0.0011143484522099234,0.7575428066801642
A2TJHKHM8T2SV3,9807,0.0017922380598284454,0.6171443518701251
A2U750ON775R3L,9840,0.004220024104680502,0.1458579450559706
A2UODR1DE3DXTT,4860,0.004531208706323599,0.26403281954955826
A2V1ZN7OXOH7J4,3884,-0.010997412907433295,0.03068901169713578
A2VAMUTJ9WGI4P,4864,-0.003906721070501669,0.1298645419425709
A2VCTDV17CKH2X,4935,0.006559999987045746,0.04043406951398671
A2XJRU950S5J87,4850,-0.001947610741720552,0.6618531166960117
A2XKIJJPWTOQ5Z,4972,0.01914942468906862,3.508520999197693e-05
A2XPQ8KYFKI6FD,4968,0.006331807315222128,0.11071279601020552
A2XYF4PPQETJYX,4857,0.015413246424522256,0.001166964357226925
A312SMYBQW6E0W,694,0.015874095756919768,0.21242201464977656
A32WFJGJ0VUKOO,4775,-0.0031682816796561007,0.4256320252261118
A33V10XAI3IWXS,4848,-0.011344356275902849,0.022346390280507347
A35QV79054LGTU,4968,0.0009447199813852059,0.8523653130809947
A36JU4ZU054BRK,4843,0.010594377246547732,0.02169785302745134
A36S7XIINCHR8R,4860,0.005037107501504164,0.3232850975969763
A36TOO4WWGEEPW,4971,0.010761811052898779,0.004730024488965823
A37I1ETWW49IZO,1087,0.027605192967495265,0.06296855873314681
A37PQ1206C9RZP,3907,0.01029716628965329,0.03460303357498366
A38NIARZOSEVUG,3937,0.0024331735612698885,0.6522054110582082
A38UOBWJF4WFGG,7969,0.014724226903289853,0.0003058872430407588
A39GZHNGT87G5N,4967,0.0019371456746429677,0.49650246580724594
A3AA8NU3WAJ3ED,2155,0.02452726820497649,0.0037723152528249823
A3ALSJWTGWPVN8,1221,0.005649756809794085,0.31732233937591875
