story_id,layer,window,ahead0,ahead1,ahead2,ahead3
1,L6,3,0.29402455830481317,0.16415233028613815,0.056249938753364606,0.023835572386705424
1,L6,3,0.4208371581196146,0.1075920460590196,0.14678249601216567,0.04398551450009251
1,L6,3,0.4742747747527816,0.053472204780025234,0.010761134866878061,0.013721380338889382
1,L6,3,0.6980391174443464,0.04375774161007816,0.02076972338368435,0.5372194011113853
1,L6,3,0.29647650985403345,0.019361501024918265,0.05021957401335457,0.007014714971770283
1,L6,3,0.3417004952228601,0.516511730716,0.4458047134973849,0.08881105150857509
1,L6,3,0.5362684819546911,0.016722658485352867,0.03757173838996944,0.047609352610686106
1,L6,3,0.4898401371891579,0.2028518793153334,0.03520028032407261,0.048446337543247606
1,L6,3,0.5853562066976942,0.03771853284914286,0.00026779968250436963,0.10243780337676357
1,L6,3,0.23496206318763677,0.19454101391523368,0.1294839347901032,0.18538175593179285
1,L6,3,0.4672632821254941,0.05170817365305692,0.2396353767640751,0.1832730812366576
1,L6,3,0.6040322452763147,0.040606720162496425,0.0902533956389579,0.09879475548887576
1,L6,3,0.3756199980110358,0.06840892400388915,0.12777642056925684,0.07428166872117024
1,L6,3,0.5484832389796691,0.1460091523619813,0.08732657331116388,0.09631947131238829
1,L6,3,0.37190921528716525,0.00878506633448731,0.019212987718277872,0.021806392595368037
1,L6,3,0.5290255342547227,0.00033519262327933016,0.08891354403215872,0.03886276026445656
1,L6,3,0.5688770216368593,0.048748085028212804,0.14067814362853126,0.00020948605431228833
1,L6,3,0.32439569732545076,0.005359783792061102,0.12805303471371177,0.12573838722801517
1,L6,3,0.4799011459846519,0.0354350599426528,0.004310790418806177,0.16835278608795964
1,L6,3,0.25372518182098397,0.02247863812144613,0.12390923472319892,0.07042633243227882
1,L6,3,0.32668215740133894,0.12070760542205902,0.04480441613483663,0.08982583669972205
1,L6,3,0.5612999345893268,0.037729535865225726,0.10307829104385072,0.0893440645021231
1,L6,3,0.5701310090290158,0.08398439469743552,0.027359203737238113,0.26083115869923895
1,L6,3,0.3707857636322283,0.029411715509649272,0.02623085742212645,0.013090057261550828
1,L6,3,0.5590665071934637,0.038872328122331094,0.08318512255011831,0.07413572122720123
1,L6,3,0.6237659117697317,0.08871517470915188,0.0845854490857728,0.028058019550213684
1,L6,3,0.3032833818565509,0.00030498159818206867,0.018803190363763562,0.03633009687215777
1,L6,3,0.4160274387311425,0.07680746160046949,0.04843071256724066,0.10699593595947973
1,L6,3,0.39970142340054143,0.16462325543187847,0.007051494086450582,0.1010061033636235
1,L6,3,0.42470577573687923,0.1431188947844346,0.11447470016799181,0.03205261434934885
1,L6,3,0.5278502150033052,0.05969544189313141,0.060110018662694005,0.011087247848755153
1,L6,3,0.5130648906529821,0.0227696175081326,0.009330745484075096,0.012071239304905649
1,L6,3,0.249792805146347,0.10299882419358626,0.06455374834881451,0.06649154684984358
1,L6,3,0.34601271297055797,0.08024992953554574,0.02780358314005475,0.025148587489791107
1,L6,3,0.5047926333194189,0.10838132989940416,0.028878993618710547,0.028952278224046148
1,L6,3,0.3813481658887986,0.08868938005859739,0.015416353808221222,0.10113983537880653
1,L6,3,0.33285820337668137,0.0013050290850885131,0.08479858499682343,0.016659116051208286
1,L6,3,0.46687908427736236,0.06043242714621641,0.11518387191303009,0.0630159388737741
1,L6,3,0.4400626079183917,0.09757189615050792,0.04620656041037907,0.007106715311344534
1,L6,3,0.41325812186231053,0.05357240745324985,0.10600496581670701,0.12534467375257743
1,L6,3,0.33715438742100773,0.002631914025349583,0.23690209621441144,0.5184112231435449
1,L6,3,0.6812900955268844,0.003221815310861139,0.04899603650087611,0.0792717539129719
1,L6,3,0.3415913053519543,0.4252368021218615,0.2430659321473677,0.011287304198714428
1,L6,3,0.5030485768964423,0.09102183187694397,0.3538343504201151,0.39504844556075946
