item,Type,WordPosition,pres,surprisal,L6_k3,L12_k5,L6_k5,L6_k7
8,MVRR_AMB,5,A_isolated,8.250757606246692,97.44363223466699,,,
8,MVRR_AMB,6,A_isolated,17.201388291220532,108.0796202837897,83.4146002751529,1160.1880184100162,
8,MVRR_AMB,7,A_isolated,8.471773198801092,90.88960734809311,41.160948723943264,71.59649892246455,
8,MVRR_AMB,8,A_isolated,4.1504920537676355,77.34485907162029,47.69236846319893,58.87194903949418,844.0188935525139
8,MVRR_AMB,9,A_isolated,2.780482556560773,89.98247175840106,55.41396174513968,72.09473036538822,66.73560626351089
8,MVRR_AMB,10,A_isolated,1.3134807776687418,82.55129915191186,121.97206066188632,69.94258002068436,62.0172474386125
8,MVRR_AMB,11,A_isolated,7.036514687735435,82.5955685689332,40.60114602430559,71.97339124541067,72.25969526463766
8,MVRR_AMB,12,A_isolated,6.626408986071603,101.31436199186886,128.69974548649847,79.2434990337309,76.64871233582471
8,MVRR_AMB,13,A_isolated,7.166643124736318,98.3715067832214,64.24009422613246,74.01935694649808,65.93492594247365
8,MVRR_AMB,1,B_prefix,72.44605526103518,,,,
8,MVRR_AMB,2,B_prefix,17.50269088864252,,,,
8,MVRR_AMB,3,B_prefix,8.041445089118206,,,,
8,MVRR_AMB,4,B_prefix,3.91343323161015,87.13685297312153,,,
8,MVRR_AMB,5,B_prefix,7.420699164261226,101.38007217090053,,,
8,MVRR_AMB,6,B_prefix,16.282846839157962,107.2626823159369,30.21501501977593,78.3582079198621,
8,MVRR_AMB,7,B_prefix,9.59366556138264,89.51074740614058,30.09196330629887,70.30083260160032,
8,MVRR_AMB,8,B_prefix,3.2962872476010303,76.38351325474144,37.15746420657048,58.559075606262816,56.738967898167715
8,MVRR_AMB,9,B_prefix,2.394238071842948,89.63564396586509,69.4190488288719,70.30927811795227,66.05369259128103
8,MVRR_AMB,10,B_prefix,1.0362589330465903,80.01829408731007,131.76060735012675,68.46198120161591,60.6057433935751
8,MVRR_AMB,11,B_prefix,7.361671278832093,82.77512888660166,43.950052189242356,72.76589294524754,72.93676524354501
8,MVRR_AMB,12,B_prefix,5.696019993156394,100.66706053052502,125.28553071194479,79.19826880845129,77.2815528057492
