item,Type,WordPosition,surp_xl,surp_pythia410m
3,NPS_UAMB,10,0.7852332278298858,1.1423110887965617
3,NPS_UAMB,11,6.015398655114664,7.39022659025075
3,NPS_UAMB,12,4.442500192789042,5.144657889050251
3,NPZ_AMB,1,0.0,0.0
3,NPZ_AMB,2,2.8050437428957924,2.806175044773168
3,NPZ_AMB,3,10.822261464004304,13.621678106546517
3,NPZ_AMB,4,8.828426692576762,9.57885716721275
3,NPZ_AMB,5,5.449535145870421,6.147922294494114
3,NPZ_AMB,6,11.667630489500182,11.101317761571883
3,NPZ_AMB,7,19.182639436049744,16.625557355462885
3,NPZ_AMB,8,10.30546873263484,12.975909219249722
3,NPZ_AMB,9,3.421197215026783,3.076425658633921
3,NPZ_AMB,10,1.2351968547357541,0.9558855928882706
3,NPZ_AMB,11,8.034561655500072,9.814357138622814
3,NPZ_AMB,12,9.314855542971095,7.247620725938445
3,NPZ_UAMB,1,0.0,0.0
3,NPZ_UAMB,2,2.8050437428957924,2.806175044773168
3,NPZ_UAMB,3,10.822261464004304,13.621678106546517
3,NPZ_UAMB,4,13.746827129856968,13.528923735352583
3,NPZ_UAMB,5,2.019959624024205,2.246668874218068
3,NPZ_UAMB,6,13.220361406272376,12.956246961411757
3,NPZ_UAMB,7,11.339277084889286,8.856594699065678
3,NPZ_UAMB,8,11.72596012536681,12.960349107639535
3,NPZ_UAMB,9,3.747488203688531,3.249023319456215
3,NPZ_UAMB,10,1.078360113995155,0.8164252052689208
3,NPZ_UAMB,11,7.835871474819477,10.34098315003801
3,NPZ_UAMB,12,8.043213586717028,6.670134629148892
4,MVRR_AMB,1,0.0,0.0
4,MVRR_AMB,2,10.93308570835909,11.66694255889673
4,MVRR_AMB,3,16.255302097795774,15.422870295228401
4,MVRR_AMB,4,2.126909959168307,3.3348350950001184
4,MVRR_AMB,5,7.8885167401097895,7.255535281539826
4,MVRR_AMB,6,20.61653859624298,22.395521633323042
4,MVRR_AMB,7,13.590768008672246,14.317967066829683
4,MVRR_AMB,8,7.95927865784199,6.356078400278198
4,MVRR_AMB,9,5.362317240173063,7.341508032844937
4,MVRR_AMB,10,4.902489290352982,4.9966910675365765
4,MVRR_AMB,11,3.452339489479719,2.9497576845510487
4,MVRR_AMB,12,9.396877508820587,9.622716182835783
4,MVRR_AMB,13,7.417059323438365,5.764522058856258
4,MVRR_AMB,14,1.6943495106463793,1.895907102976618
4,MVRR_UAMB,1,0.0,0.0
4,MVRR_UAMB,2,10.93308570835909,11.66694255889673
4,MVRR_UAMB,3,5.481997215186078,5.673480290899616
4,MVRR_UAMB,4,3.0751024241181826,3.4808741629802724
4,MVRR_UAMB,5,10.858862123830324,11.71222215121589
4,MVRR_UAMB,6,3.9782325108369374,5.094705356124498
4,MVRR_UAMB,7,7.461227219902348,8.348659762146251
4,MVRR_UAMB,8,12.19279396045244,15.138779721504765
4,MVRR_UAMB,9,14.665963641891524,15.637539040035358
4,MVRR_UAMB,10,8.662695267107516,6.327133720137988
4,MVRR_UAMB,11,5.8985213093801105,7.671589519131701
4,MVRR_UAMB,12,4.601668244353412,4.872309774779576
4,MVRR_UAMB,13,3.6765288498731397,2.9347635491182253
4,MVRR_UAMB,14,8.463275879987261,9.52471152527631
4,MVRR_UAMB,15,7.1206382815784695,5.9326887586617225
4,MVRR_UAMB,16,1.579990767529614,2.1342157338068386
4,NPS_AMB,1,0.0,0.0
4,NPS_AMB,2,10.93308570835909,11.654405711579434
4,NPS_AMB,3,9.52743435460477,9.813546068441344
4,NPS_AMB,4,2.0346534777486216,3.1577882430000037
4,NPS_AMB,5,11.54742287171432,11.599041056613679
4,NPS_AMB,6,18.908503218158046,20.507120482041646
4,NPS_AMB,7,11.741511484588429,13.719003776600383
4,NPS_AMB,8,10.185640852542083,9.048952478541505
4,NPS_AMB,9,2.839744510377731,4.588499188811545
4,NPS_AMB,10,1.756176073783846,1.093173409670596
4,NPS_AMB,11,9.65181564736177,8.295176597380935
4,NPS_AMB,12,14.003752183963568,9.522705691619297
4,NPS_UAMB,1,0.0,0.0
4,NPS_UAMB,2,10.93308570835909,11.66694255889673
4,NPS_UAMB,3,9.52743435460477,9.815521117203852
4,NPS_UAMB,4,6.193198447160257,4.549569195962239
4,NPS_UAMB,5,2.4051501990575423,2.8603488918643496
4,NPS_UAMB,6,11.379230718476526,12.404218424533521
4,NPS_UAMB,7,12.90910032543483,14.344763339695316
4,NPS_UAMB,8,11.981802892651531,13.00020159938867
4,NPS_UAMB,9,9.101386549136558,8.075155752479127
4,NPS_UAMB,10,3.3080457014405207,3.5130139368082123
