item,Type,WordPosition,tee,surp,sent_len
3,NPS_UAMB,8,75.73474961438694,11.163263160690253,12
3,NPS_UAMB,9,101.47324236396652,3.083663376512831,12
3,NPS_UAMB,10,71.90918516336394,0.9734761504011695,12
3,NPS_UAMB,11,92.33257478092766,7.4072473692413405,12
3,NPS_UAMB,12,103.54803137793176,6.172988937840019,12
3,NPZ_AMB,1,,0.0,12
3,NPZ_AMB,2,,3.344545235467833,12
3,NPZ_AMB,3,,11.115163052896943,12
3,NPZ_AMB,4,,8.446237902731585,12
3,NPZ_AMB,5,83.96318857126789,6.6474844280389345,12
3,NPZ_AMB,6,88.47751196673825,13.710941229927935,12
3,NPZ_AMB,7,96.5893090416761,19.67598198900876,12
3,NPZ_AMB,8,73.91658505086643,12.201574706674892,12
3,NPZ_AMB,9,102.77671191051859,3.7072098668564615,12
3,NPZ_AMB,10,58.912299654390964,1.3713068483336457,12
3,NPZ_AMB,11,97.1549468179607,9.275542372775668,12
3,NPZ_AMB,12,97.16248785383287,8.287900527370882,12
3,NPZ_UAMB,1,,0.0,12
3,NPZ_UAMB,2,,3.344551426843264,12
3,NPZ_UAMB,3,,11.115159613243925,12
3,NPZ_UAMB,4,,12.742711238308683,12
3,NPZ_UAMB,5,64.75637929626593,2.556305922883516,12
3,NPZ_UAMB,6,88.46509828868733,15.672080035634645,12
3,NPZ_UAMB,7,93.27584525438049,8.657477313480339,12
3,NPZ_UAMB,8,76.25081600188967,11.755999303097113,12
3,NPZ_UAMB,9,101.7129242895715,3.804018213096533,12
3,NPZ_UAMB,10,57.94590744213321,1.6919832053840012,12
3,NPZ_UAMB,11,96.79614728882832,9.238993307744908,12
3,NPZ_UAMB,12,96.3312668992079,7.978761884427635,12
4,MVRR_AMB,1,,0.0,14
4,MVRR_AMB,2,,12.784335855331708,14
4,MVRR_AMB,3,,15.503023841558917,14
4,MVRR_AMB,4,,2.216737529609857,14
4,MVRR_AMB,5,100.42078290923695,7.62607259075435,14
4,MVRR_AMB,6,102.0201037353963,16.901253799963207,14
4,MVRR_AMB,7,89.23036539604944,15.108744671358084,14
4,MVRR_AMB,8,103.16382507746492,4.933340570160658,14
4,MVRR_AMB,9,94.89577989465852,6.2281480735379935,14
4,MVRR_AMB,10,78.96289117530347,4.625412169131531,14
4,MVRR_AMB,11,75.5047357680116,2.8037222282065626,14
4,MVRR_AMB,12,87.70596320891768,9.226214308855198,14
4,MVRR_AMB,13,100.43859886007259,4.698307359665034,14
4,MVRR_AMB,14,112.65476657139075,1.5524244141288397,14
4,MVRR_UAMB,1,,0.0,16
4,MVRR_UAMB,2,,12.784335855331708,16
4,MVRR_UAMB,3,,5.329400104763223,16
4,MVRR_UAMB,4,,2.5354716005926936,16
4,MVRR_UAMB,5,92.19662569108611,12.478052640340735,16
4,MVRR_UAMB,6,92.14471767169678,4.193400693262001,16
4,MVRR_UAMB,7,88.6349614276781,7.287170458270134,16
4,MVRR_UAMB,8,101.81081633914228,12.381117714869628,16
4,MVRR_UAMB,9,91.43636859276923,15.664452261103577,16
4,MVRR_UAMB,10,103.24878819123118,4.892477148350352,16
4,MVRR_UAMB,11,97.16853362662145,6.172617627296806,16
4,MVRR_UAMB,12,79.26176707198057,4.0742655592869195,16
4,MVRR_UAMB,13,75.585889144648,3.146773442142844,16
4,MVRR_UAMB,14,87.70901513188342,9.083705356766654,16
4,MVRR_UAMB,15,99.91378320419581,5.203922250624321,16
4,MVRR_UAMB,16,113.11753232836006,1.7081398830740062,16
4,NPS_AMB,1,,0.0,12
4,NPS_AMB,2,,12.78433035188688,12
4,NPS_AMB,3,,9.151544945295393,12
4,NPS_AMB,4,,2.6222616134547048,12
4,NPS_AMB,5,103.0337883732792,11.728418789343547,12
4,NPS_AMB,6,106.66718581502076,17.21541657208611,12
4,NPS_AMB,7,91.80385907098783,14.02239768305686,12
4,NPS_AMB,8,103.88548640974815,7.027669276036259,12
4,NPS_AMB,9,92.55816969921314,4.195520895381837,12
4,NPS_AMB,10,64.76261762970623,1.1816651048715692,12
4,NPS_AMB,11,82.48896083701429,8.923233160760791,12
4,NPS_AMB,12,83.98036073275168,9.31883866116508,12
4,NPS_UAMB,1,,0.0,13
4,NPS_UAMB,2,,12.784335855331708,13
4,NPS_UAMB,3,,9.151531874613928,13
4,NPS_UAMB,4,,4.8186002808457244,13
4,NPS_UAMB,5,73.21356201117105,2.9367640513130615,13
4,NPS_UAMB,6,89.53902629968715,11.381550420471365,13
4,NPS_UAMB,7,102.43935907511839,11.875712986709697,13
4,NPS_UAMB,8,93.0487600717001,13.524404719218511,13
4,NPS_UAMB,9,104.99551133689319,7.021185530098732,13
4,NPS_UAMB,10,90.52398454105821,3.904105236592653,13
4,NPS_UAMB,11,65.35034126070565,1.239855520782326,13
4,NPS_UAMB,12,82.4126924534097,8.22541424281555,13
4,NPS_UAMB,13,84.0172860659483,10.126534800998133,13
4,NPZ_AMB,1,,0.0,13
4,NPZ_AMB,2,,3.3340907540871845,13
4,NPZ_AMB,3,,11.93818534067031,13
4,NPZ_AMB,4,,10.806760323716738,13
4,NPZ_AMB,5,86.39102792840607,2.475324452071745,13
4,NPZ_AMB,6,100.87609328324392,11.761340396302309,13
4,NPZ_AMB,7,104.72560999664161,18.281099500920867,13
4,NPZ_AMB,8,89.4366871395433,15.646304651784535,13
4,NPZ_AMB,9,105.66397410777026,8.59032978313867,13
4,NPZ_AMB,10,96.4864401835953,5.585364291799453,13
4,NPZ_AMB,11,84.5107804783168,7.075643492529139,13
4,NPZ_AMB,12,104.09907739854287,5.0966233066469195,13
4,NPZ_AMB,13,104.74319644090188,3.7159757365796136,13
4,NPZ_UAMB,1,,0.0,13
4,NPZ_UAMB,2,,3.3340907540871845,13
4,NPZ_UAMB,3,,11.93818534067031,13
4,NPZ_UAMB,4,,13.988033485622662,13
4,NPZ_UAMB,5,64.20147833910838,2.1319813835769494,13
4,NPZ_UAMB,6,101.2949556783766,12.934809667947011,13
4,NPZ_UAMB,7,103.19652023050159,8.63423213838972,13
4,NPZ_UAMB,8,93.02061115954535,15.423357350095644,13
4,NPZ_UAMB,9,104.56372840439947,8.199986951850784,13
4,NPZ_UAMB,10,94.60855931109116,5.763946604906471,13
4,NPZ_UAMB,11,82.80308026494957,6.680381269495973,13
4,NPZ_UAMB,12,103.38978166496017,4.983480736158502,13
