model,term,beta,p
D. PUNCT-FREE (current word not punct-final),has_trailing_punct_L2,-0.0019100148146396628,0.008845232247250548
D. PUNCT-FREE (current word not punct-final),has_trailing_punct_L3,-0.0061055365421848196,9.822202130368844e-19
D. PUNCT-FREE (current word not punct-final),ctee_m5,-0.0003185588120209748,0.580749525506856
D. PUNCT-FREE (current word not punct-final),ctee_m5_L1,0.0003270355641785891,0.5419517025868192
D. PUNCT-FREE (current word not punct-final),ctee_m5_L2,0.0009574908819835505,0.0914328084824856
D. PUNCT-FREE (current word not punct-final),ctee_m5_L3,5.9254792357011504e-05,0.9163711171865435
D. PUNCT-FREE (current word not punct-final),ctee_m10,0.00026597763041981415,0.6633471361621561
D. PUNCT-FREE (current word not punct-final),ctee_m10_L1,2.1125042381699155e-05,0.9706512090261207
D. PUNCT-FREE (current word not punct-final),ctee_m10_L2,0.000560013269924102,0.3316155679558639
D. PUNCT-FREE (current word not punct-final),ctee_m10_L3,0.0006312020877636219,0.26173001946788943
D. PUNCT-FREE (current word not punct-final),ntee_k100,0.003938635493104553,6.014641434227585e-09
D. PUNCT-FREE (current word not punct-final),ntee_k100_L1,-0.0012300375714218992,0.08230747710408677
D. PUNCT-FREE (current word not punct-final),ntee_k100_L2,-0.002376843545258661,0.00025653574435787716
D. PUNCT-FREE (current word not punct-final),ntee_k100_L3,-0.0003845975670191959,0.5141795781623084
D. PUNCT-FREE (current word not punct-final),nswitch_k100,-0.0018847467734076986,0.0005686096144563337
D. PUNCT-FREE (current word not punct-final),nswitch_k100_L1,-0.0009748617972723354,0.07778045464343122
D. PUNCT-FREE (current word not punct-final),nswitch_k100_L2,-0.0009536402492423546,0.09306692267847991
D. PUNCT-FREE (current word not punct-final),nswitch_k100_L3,0.00019566949839531708,0.7235333856570041
