tag,family,lag,term,beta,p,n
ALL,wake_nbhd,1,ntee_k100,0.2376004213995393,2.3265700972747776e-18,1627
ALL,wake_nbhd,2,tee3_perp,0.030030936078352825,0.3878218848808779,1627
ALL,wake_nbhd,2,tee3_par,-0.04372540666621285,0.07409420634258289,1627
ALL,wake_nbhd,2,surprisal,0.07236902782364096,0.014001450828931816,1627
ALL,wake_nbhd,2,ctee_m5,-0.002923263765643447,0.9062306628281207,1627
ALL,wake_nbhd,2,ntee_k100,0.1836857103508916,2.5546486910219726e-12,1627
ALL,wake_nbhd,3,tee3_perp,0.06844206116667613,0.04464292010294387,1627
ALL,wake_nbhd,3,tee3_par,-0.01937949796606609,0.4045760963389854,1627
ALL,wake_nbhd,3,surprisal,0.028170045321623073,0.32661001007628765,1627
ALL,wake_nbhd,3,ctee_m5,-0.023110492843840744,0.3701108606741945,1627
ALL,wake_nbhd,3,ntee_k100,0.16362211798675153,2.200236538580392e-09,1627
ALL,wake_nbhd,4,tee3_perp,0.015355006930474414,0.6469233858469858,1627
ALL,wake_nbhd,4,tee3_par,-0.007919989367876735,0.740618765736464,1627
ALL,wake_nbhd,4,surprisal,0.02071393166097074,0.44320437089428133,1627
ALL,wake_nbhd,4,ctee_m5,-0.001231679915720929,0.9697031153976741,1627
ALL,wake_nbhd,4,ntee_k100,0.16363952745548954,1.983329238944506e-09,1627
ALL,wake_nbhd,5,tee3_perp,0.022960316600827365,0.4566938811416119,1627
ALL,wake_nbhd,5,tee3_par,-0.02223669215092487,0.4016674498526981,1627
ALL,wake_nbhd,5,surprisal,-0.015519471314274412,0.49710978462882505,1627
ALL,wake_nbhd,5,ctee_m5,-0.03050809301567673,0.25529282139976806,1627
ALL,wake_nbhd,5,ntee_k100,0.19052440595808381,9.943954938077256e-11,1627
ALL,wake_nbhd,6,tee3_perp,0.040715419487504484,0.18771491812594,1627
ALL,wake_nbhd,6,tee3_par,-0.028201853783457603,0.2558444834957032,1627
ALL,wake_nbhd,6,surprisal,0.033301353424427894,0.285696559021102,1627
ALL,wake_nbhd,6,ctee_m5,-0.04257715886013087,0.15360146086129542,1627
ALL,wake_nbhd,6,ntee_k100,0.14017026506627317,9.154826086102232e-08,1627
ALL,wake_nbhd,7,tee3_perp,-0.01630783083849822,0.5824686183007902,1627
