tag,family,lag,term,beta,p,n
PUNCT-FREE,wake_rel,8,surprisal,0.09780703369096751,0.0012171673446483618,1414
PUNCT-FREE,wake_rel,8,ctee_m5,-0.008537157130486413,0.7710037486746557,1414
PUNCT-FREE,wake_rel,8,ntee_k100,0.13277354467853397,1.1038452764656558e-06,1414
PUNCT-FREE,wake_rel,9,tee3_perp,-0.0729234395937195,0.05783196493869179,1414
PUNCT-FREE,wake_rel,9,tee3_par,-0.07743240768053011,0.004564252791261922,1414
PUNCT-FREE,wake_rel,9,surprisal,0.09614813487287267,0.0018885127285602806,1414
PUNCT-FREE,wake_rel,9,ctee_m5,0.00010200325367389681,0.997026270543154,1414
PUNCT-FREE,wake_rel,9,ntee_k100,0.14335949438894846,1.5586003189051462e-07,1414
PUNCT-FREE,wake_rel,10,tee3_perp,-0.03973164813595982,0.31064625031600535,1414
PUNCT-FREE,wake_rel,10,tee3_par,-0.07183985189907176,0.01437751246530238,1414
PUNCT-FREE,wake_rel,10,surprisal,0.06021459595270098,0.04776906525835956,1414
PUNCT-FREE,wake_rel,10,ctee_m5,-0.0010170302566462233,0.9728216564250627,1414
PUNCT-FREE,wake_rel,10,ntee_k100,0.12868765381264843,1.953920823670102e-06,1414
PUNCT-FREE,wake_coarse,1,tee3_perp,0.10047140077173587,0.012106365710583928,1414
PUNCT-FREE,wake_coarse,1,tee3_par,-0.012934790315819834,0.6272436794192913,1414
PUNCT-FREE,wake_coarse,1,surprisal,0.10969966879690764,0.002140599647844778,1414
PUNCT-FREE,wake_coarse,1,ctee_m5,0.01988399872210407,0.4471390103259526,1414
PUNCT-FREE,wake_coarse,1,ntee_k100,0.19972269687899075,8.746024322780087e-13,1414
PUNCT-FREE,wake_coarse,2,tee3_perp,0.06565119915041183,0.09243004945556228,1414
PUNCT-FREE,wake_coarse,2,tee3_par,-0.05187219271063646,0.05114006209475801,1414
PUNCT-FREE,wake_coarse,2,surprisal,0.15959014127586157,1.0338627741840425e-05,1414
PUNCT-FREE,wake_coarse,2,ctee_m5,0.019598408939879366,0.4620042973248589,1414
PUNCT-FREE,wake_coarse,2,ntee_k100,0.19940282027486717,5.5486044541892055e-12,1414
PUNCT-FREE,wake_coarse,3,tee3_perp,0.03625456456384581,0.33782224282179774,1414
PUNCT-FREE,wake_coarse,3,tee3_par,-0.06913720560771022,0.00889182339357186,1414
PUNCT-FREE,wake_coarse,3,surprisal,0.16001436486365891,7.526434642194118e-06,1414
PUNCT-FREE,wake_coarse,3,ctee_m5,0.012960641842457842,0.6280618592932306,1414
PUNCT-FREE,wake_coarse,3,ntee_k100,0.21146444900088118,2.352252896817482e-13,1414
PUNCT-FREE,wake_coarse,4,tee3_perp,0.02073369788592258,0.5804406968375445,1414
PUNCT-FREE,wake_coarse,4,tee3_par,-0.07766605428543494,0.0030816478330774498,1414
PUNCT-FREE,wake_coarse,4,surprisal,0.15689135566985166,6.813408341763013e-06,1414
PUNCT-FREE,wake_coarse,4,ctee_m5,0.00966044028825458,0.7201313827676845,1414
PUNCT-FREE,wake_coarse,4,ntee_k100,0.21679276319788454,5.792160333056274e-14,1414
PUNCT-FREE,wake_coarse,5,tee3_perp,0.010673408463419654,0.7714770056800335,1414
PUNCT-FREE,wake_coarse,5,tee3_par,-0.07998975126872154,0.0017864480555993378,1414
PUNCT-FREE,wake_coarse,5,surprisal,0.15681501858469743,4.105369800963429e-06,1414
PUNCT-FREE,wake_coarse,5,ctee_m5,0.006953524476561307,0.7977843621828964,1414
PUNCT-FREE,wake_coarse,5,ntee_k100,0.21959670428655736,1.233269056087538e-14,1414
PUNCT-FREE,wake_coarse,6,tee3_perp,-0.063382036235301,0.06965143357719493,1414
PUNCT-FREE,wake_coarse,6,tee3_par,-0.09563765236261262,0.00011240995136886597,1414
PUNCT-FREE,wake_coarse,6,surprisal,0.1688385769197628,8.365111148841081e-08,1414
PUNCT-FREE,wake_coarse,6,ctee_m5,-0.008719961622023834,0.7542224838831662,1414
PUNCT-FREE,wake_coarse,6,ntee_k100,0.20845979887942728,1.2044314409368442e-13,1414
PUNCT-FREE,wake_coarse,7,tee3_perp,-0.07959686309035027,0.021452853099026253,1414
PUNCT-FREE,wake_coarse,7,tee3_par,-0.0837064115066932,0.0006333431825495028,1414
PUNCT-FREE,wake_coarse,7,surprisal,0.13607004202611273,2.967561405042078e-06,1414
PUNCT-FREE,wake_coarse,7,ctee_m5,-0.016706708520489617,0.5584299716335923,1414
PUNCT-FREE,wake_coarse,7,ntee_k100,0.18585360783330554,4.929039452861161e-12,1414
PUNCT-FREE,wake_coarse,8,tee3_perp,-0.08092590665629895,0.01760617531005593,1414
PUNCT-FREE,wake_coarse,8,tee3_par,-0.07757316135731156,0.0016818726639531722,1414
PUNCT-FREE,wake_coarse,8,surprisal,0.12292464584507751,1.1102389892386461e-05,1414
PUNCT-FREE,wake_coarse,8,ctee_m5,-0.014155634752264798,0.6206938732903083,1414
PUNCT-FREE,wake_coarse,8,ntee_k100,0.1764103166989855,3.286515082295655e-11,1414
PUNCT-FREE,wake_coarse,9,tee3_perp,-0.07366329635436225,0.02756564016633085,1414
PUNCT-FREE,wake_coarse,9,tee3_par,-0.0819951845309619,0.0010024940865179257,1414
PUNCT-FREE,wake_coarse,9,surprisal,0.12076722880410505,2.0408013811077992e-05,1414
PUNCT-FREE,wake_coarse,9,ctee_m5,-0.02008689364850267,0.4668306053483936,1414
PUNCT-FREE,wake_coarse,9,ntee_k100,0.17107658889943003,6.650448710906463e-11,1414
PUNCT-FREE,wake_coarse,10,tee3_perp,-0.0641808196053714,0.058115810816416064,1414
PUNCT-FREE,wake_coarse,10,tee3_par,-0.09101003842537338,0.0005786628540615449,1414
PUNCT-FREE,wake_coarse,10,surprisal,0.12251143463018224,3.403609009251423e-05,1414
PUNCT-FREE,wake_coarse,10,ctee_m5,-0.016117946022786257,0.5645421256790499,1414
PUNCT-FREE,wake_coarse,10,ntee_k100,0.16089625333858962,4.721365953774863e-10,1414
PUNCT-FREE,wake_nbhd,1,tee3_perp,0.04812747923155725,0.23038851475144262,1414
PUNCT-FREE,wake_nbhd,1,tee3_par,-0.05891672669184979,0.03524409325243774,1414
PUNCT-FREE,wake_nbhd,1,surprisal,0.07784016164422075,0.028974084915341744,1414
PUNCT-FREE,wake_nbhd,1,ctee_m5,0.009012628459378603,0.7678257749309984,1414
PUNCT-FREE,wake_nbhd,1,ntee_k100,0.22183793614138658,1.831285540366937e-14,1414
PUNCT-FREE,wake_nbhd,2,tee3_perp,-0.020238741229124956,0.5883998471002958,1414
PUNCT-FREE,wake_nbhd,2,tee3_par,-0.06547415888210732,0.012710724461618394,1414
PUNCT-FREE,wake_nbhd,2,surprisal,0.13756741866198136,8.898767148963322e-05,1414
PUNCT-FREE,wake_nbhd,2,ctee_m5,-0.011930146861237074,0.6551413578483724,1414
PUNCT-FREE,wake_nbhd,2,ntee_k100,0.17792523141440247,1.191180564445266e-09,1414
PUNCT-FREE,wake_nbhd,3,tee3_perp,-0.0036028730868315293,0.9251369644802819,1414
PUNCT-FREE,wake_nbhd,3,tee3_par,-0.05776337666096065,0.019177666635335273,1414
PUNCT-FREE,wake_nbhd,3,surprisal,0.12653176668059943,0.0001540003087853843,1414
PUNCT-FREE,wake_nbhd,3,ctee_m5,-0.03692501296993155,0.21396587042812332,1414
PUNCT-FREE,wake_nbhd,3,ntee_k100,0.1593830746129052,2.658218241008146e-07,1414
PUNCT-FREE,wake_nbhd,4,tee3_perp,-0.07182065966180219,0.06475078812643488,1414
PUNCT-FREE,wake_nbhd,4,tee3_par,-0.02832144037049129,0.26710354567638395,1414
PUNCT-FREE,wake_nbhd,4,surprisal,0.08044523587571561,0.01317278330838296,1414
PUNCT-FREE,wake_nbhd,4,ctee_m5,0.009748101943809439,0.7920296030192558,1414
PUNCT-FREE,wake_nbhd,4,ntee_k100,0.1485394320845999,4.509718231041496e-06,1414
PUNCT-FREE,wake_nbhd,5,tee3_perp,-0.07944148970108071,0.030767499393507532,1414
PUNCT-FREE,wake_nbhd,5,tee3_par,-0.045490756781799487,0.10457979683211502,1414
PUNCT-FREE,wake_nbhd,5,surprisal,0.049781453074070815,0.06270836870675643,1414
PUNCT-FREE,wake_nbhd,5,ctee_m5,-0.020402553576022376,0.5094886199169115,1414
PUNCT-FREE,wake_nbhd,5,ntee_k100,0.1670686418814652,1.0236088550129546e-06,1414
PUNCT-FREE,wake_nbhd,6,tee3_perp,-0.08426454264253719,0.012124288979304069,1414
PUNCT-FREE,wake_nbhd,6,tee3_par,-0.05285184128346569,0.038996898387706556,1414
PUNCT-FREE,wake_nbhd,6,surprisal,0.09359326862069936,0.0006114271629191411,1414
PUNCT-FREE,wake_nbhd,6,ctee_m5,-0.014325816977370402,0.6759308596102456,1414
PUNCT-FREE,wake_nbhd,6,ntee_k100,0.12126369024095768,9.419569491886291e-05,1414
PUNCT-FREE,wake_nbhd,7,tee3_perp,-0.08054264401965738,0.020146139360458067,1414
PUNCT-FREE,wake_nbhd,7,tee3_par,-0.07892672239198548,0.0058031252951458055,1414
PUNCT-FREE,wake_nbhd,7,surprisal,0.09578193905941979,0.014516481626934833,1414
PUNCT-FREE,wake_nbhd,7,ctee_m5,-0.028461683385399304,0.3461552380951384,1414
PUNCT-FREE,wake_nbhd,7,ntee_k100,0.11296218128226902,2.9417915404131057e-05,1414
PUNCT-FREE,wake_nbhd,8,tee3_perp,0.0060705863242627965,0.8558087794431142,1414
PUNCT-FREE,wake_nbhd,8,tee3_par,-0.05058530795008434,0.08388481829538215,1414
PUNCT-FREE,wake_nbhd,8,surprisal,0.05829439876652626,0.03666765709611234,1414
PUNCT-FREE,wake_nbhd,8,ctee_m5,-0.017325216726571974,0.566448094180471,1414
PUNCT-FREE,wake_nbhd,8,ntee_k100,0.11849329963251728,1.4984753375075051e-05,1414
PUNCT-FREE,wake_nbhd,9,tee3_perp,-0.06609564560477843,0.10276546346816524,1414
PUNCT-FREE,wake_nbhd,9,tee3_par,-0.06106657781560685,0.02463967590124923,1414
PUNCT-FREE,wake_nbhd,9,surprisal,0.06676989252241904,0.02839358198814329,1414
PUNCT-FREE,wake_nbhd,9,ctee_m5,-0.006760279345110017,0.801410011070808,1414
PUNCT-FREE,wake_nbhd,9,ntee_k100,0.12864807861161226,5.4757669960742605e-06,1414
PUNCT-FREE,wake_nbhd,10,tee3_perp,-0.051523532489122524,0.16470430992859275,1414
PUNCT-FREE,wake_nbhd,10,tee3_par,-0.05416586777226883,0.047214574706986805,1414
PUNCT-FREE,wake_nbhd,10,surprisal,0.04196763937973012,0.17565153154087143,1414
PUNCT-FREE,wake_nbhd,10,ctee_m5,-0.015633967762347524,0.6401441456920646,1414
PUNCT-FREE,wake_nbhd,10,ntee_k100,0.13520769333372523,1.4699246119605127e-05,1414
